destination,name,balanced,business,leisure,settlement,reach,pca,entropy,gamma_flat,gamma_sharp,gamma_extreme
EGY,Egypt,1.129486085031879,1.0977892517178929,1.2388795860577106,0.9639238816477664,1.289586413706597,1.0720215548384744,1.0029803892783362,1.0720575560400774,1.1970191931654741,1.1606987326626723
ERI,Eritrea,0.511288689779171,0.510047938991238,0.615794403912984,0.3323462724547322,0.8044238068041767,0.33805269591512116,0.39083220619542547,0.7212913975046694,0.24528540967160425,0.04873721559244373
ESP,Spain,1.4658034408360858,1.4576298385056436,1.4438135201725544,1.512167882825302,1.3183718498880999,1.5530259778289162,1.5306290588936255,1.2212807960312768,2.0160013465477675,3.2922963305582025
EST,Estonia,1.1883033089726798,1.2485433248693014,1.0018839119190934,1.4060173038923267,1.0355742221270599,1.2890547319690473,1.3270676625802846,1.0996166646401795,1.324933121966568,1.4220183365458998
ETH,Ethiopia,0.810373751057911,0.7907817113979073,1.0052013778787168,0.5469824042497385,1.1270362830211362,0.6006401636750077,0.6630815135294074,0.908072120719503,0.6161835142608288,0.30756536775361293
FIN,Finland,1.335559384381322,1.3711911925110556,1.1716286922735695,1.5078008143962782,1.1663769150784242,1.4555995511676907,1.466377423325343,1.1657603000378167,1.6736542734346902,2.269074649243998
FJI,Fiji,0.9951842847216954,0.96777163625835,0.9866593661304931,1.1001437730546308,0.8299631642786495,1.051485625061229,1.0853684859240245,1.0063044990299221,0.9292795131812611,0.6995359010340941
FRA,France,1.4333339392238897,1.449426375211515,1.4035276790203972,1.4426045872154607,1.3534486251482345,1.499817356186808,1.468827838291402,1.2076785477948497,1.92767632292363,3.010131776678661
FSM,Micronesia,0.6035454572962694,0.5907347921150369,0.5909167986879985,0.7108307665228589,0.4104165370742175,0.6206115261506528,0.6911445282139509,0.7836689728190187,0.34178997091333974,0.09463154105215689
GAB,Gabon,0.9042130409738809,0.9207586121321599,0.8596072022718954,0.9094296389605744,1.0007858451490435,0.8886471141453005,0.8808195723048957,0.9592085536062425,0.7671510377799446,0.4767371940506492
GBR,United Kingdom,1.4082174029070802,1.4345594843339655,1.3292103521324812,1.4467370504377082,1.3165225222774088,1.4996160290956544,1.4484983559756799,1.19705061259844,1.8607102857387536,2.804624987129095
GEO,Georgia,1.1000839678598304,1.0810939695858857,1.0568510992375646,1.170635972803789,1.0226341080081642,1.1791650544768746,1.154807595316684,1.0580119608927478,1.1355101359233672,1.0444780382280985
GHA,Ghana,1.0072919871637283,1.0174903798347752,1.0346564172547266,0.9945784678605372,1.0844101396675108,0.8939306160093095,0.9726592559438383,1.0124074895651638,0.9520288354026051,0.7342052532493397
GIN,Guinea,0.6653856558789826,0.7137982150619049,0.6776258651977334,0.532157502982938,1.0055963118765812,0.44449573306895696,0.5519244486049084,0.8228380699669287,0.41541886303687714,0.13979437855215887
