destination,name,balanced,business,leisure,settlement,reach,pca,entropy,gamma_flat,gamma_sharp,gamma_extreme
AFG,Afghanistan,0.6689971901643681,0.6665722267245062,0.8026030678268419,0.4506473962335797,1.0267407362179448,0.4271767557956895,0.5326777999905864,0.825068119843653,0.4199406649851144,0.1428542434349466
AGO,Angola,0.8393369039671245,0.8767368297818203,0.8633982793447725,0.7282205528403329,1.13687196718855,0.6660211493959309,0.717678221260442,0.9241571310467795,0.6610160146271944,0.3539494526211605
ALB,Albania,1.0803897769838164,1.0496298437109466,1.059728743531698,1.1636611726274364,0.9272539351961177,1.1819431040496826,1.147576075827351,1.0484986913361654,1.0952172523733683,0.9716678539220516
AND,Andorra,1.1147191533960017,1.0332186175204356,1.1561559217448998,1.2808312301784348,0.614254494883849,1.3872741142372125,1.2481934704559772,1.0650264444478752,1.165924077238112,1.1011787552502563
ARE,United Arab Emirates,1.2924506067328907,1.3171453977689305,1.2318776238441502,1.239817097957029,1.3012770564514364,1.3836044777994174,1.2701944716219042,1.1467919535868856,1.567354567090821,1.989994104070561
ARG,Argentina,1.2904658695705122,1.2721568369987029,1.260495570686264,1.3045932484761475,1.2819906984984597,1.3399976314295563,1.329395289626634,1.145911086234248,1.5625444825624024,1.9777985841239556
ARM,Armenia,1.0312943502397256,1.023547955980307,1.0026305761652894,1.0977046515422264,0.9579779242711396,1.0703815436407045,1.0566345647091306,1.024398606390417,0.9979404381863732,0.8067268745504013
ATG,Antigua and Barbuda,0.893252797134614,0.8845206987569523,0.8526368940943548,1.0607832862245874,0.5945666727672546,1.0631198490077105,1.0038729897467014,0.9533773987629416,0.7486660058285578,0.4540393674591588
AUS,Australia,1.4484130203616985,1.4839283113781272,1.3176885423534086,1.5378348384497993,1.3716552531532562,1.5401637525894067,1.529486337116226,1.214014488504018,1.968449078707067,3.1388145093523985
AUT,Austria,1.3827962250274912,1.3948260095914302,1.3100014074536606,1.4714790884942417,1.1874755049488048,1.50892389752416,1.4840007157227404,1.1861968115502697,1.7941374631468334,2.60752638544619
AZE,Azerbaijan,0.9715471876442172,0.9556227270568264,0.97763423348152,0.9043842775826104,1.0698112151569246,0.9817097605560056,0.8781424614295289,0.9942820731370786,0.8856602273562275,0.635406373091231
BDI,Burundi,0.5116839883111796,0.4823899907695729,0.6703174275131432,0.3588873248310203,0.7455054625465597,0.2872000051627615,0.4113110867049535,0.7215701738075654,0.2456648369759037,0.0488881135443
BEL,Belgium,1.373100295993545,1.420450833080736,1.2342746778067455,1.5016939445934687,1.2111367919074183,1.4787978509812096,1.4811821045439446,1.1820307919515798,1.7690653072855167,2.5351578975189457
BEN,Benin,0.7849975176622497,0.8095632722744056,0.8223804281178024,0.7888687404957169,0.9087374576353404,0.6329819294742088,0.7615707161172328,0.893741246810904,0.5781971025691459,0.2708127481335902
BFA,Burkina Faso,0.7072965054386955,0.7256753569264293,0.786605122697246,0.5855487908993887,0.9622751380264876,0.4995008425133166,0.6127175887835273,0.8483565472286135,0.469399225749165,0.1784851218554824
BGD,Bangladesh,0.9248311638134952,0.9295260067443252,0.9815719716304696,0.7933397830427028,1.1604273762808512,0.7991696467539031,0.7880054864002717,0.9700829856195724,0.8025355056380693,0.5217299800674652
BGR,Bulgaria,1.1774149517931078,1.180575285337941,1.139405832221258,1.22156792868742,1.1163672823013715,1.2329557549651269,1.2114323525997293,1.0945672078550497,1.300763785630435,1.370610822808884
BHR,Bahrain,1.079919096855774,1.063537595175696,1.0407049725338768,1.1260310647146736,0.926902634947063,1.2065875624318927,1.0674635088097146,1.0482702731899542,1.0942631805792022,0.9699757017829456
BHS,Bahamas,1.0399503829282852,1.0330042402380368,0.9655764731609552,1.156235866088286,0.8053056791140043,1.229090325446338,1.1695936359801813,1.0286887002047276,1.014762903795352,0.8341544045716119
BIH,Bosnia and Herzegovina,0.9789257020776044,1.006183872657899,0.8766618974670851,1.0821721272494933,0.9770191641223522,1.0085842477988642,0.9939840226628346,0.998050520129208,0.8991637847190301,0.6549300169103777
BLR,Belarus,1.0674214723483368,1.0555634460346506,1.0438321974025044,1.014385696820131,1.151494922807449,1.1067807638265927,1.0200983184412025,1.042186941339022,1.0690824836761588,0.9258480370084416
BLZ,Belize,0.8323755115146148,0.7988652041703096,0.8723272064193842,0.8245393266951262,0.762423267373591,0.8920621502265605,0.8365441599697978,0.9203167091488548,0.6500966585071467,0.3423522210895056
BOL,Bolivia,0.965346015360836,0.9632319492953932,0.9870892084347084,0.9160799276209018,1.0820357724977212,0.901728590967102,0.8864242449161822,0.9911038515143,0.8743903596873392,0.6193383943216567
BRA,Brazil,1.3075029366995852,1.3115862061859256,1.3170577131647785,1.2479089365361704,1.4107945308847034,1.2792806381105395,1.3000941733437734,1.1534505917804994,1.6040750735285545,2.084330879063383
BRB,Barbados,0.939237408065306,0.9316960393934234,0.9021148382525024,1.0595501980734134,0.6282053300062665,1.1050088250976284,1.0640414799488642,0.9776093585893358,0.8277326893439226,0.5550057674368937
BRN,Brunei,1.1634624190610323,1.166471291660274,1.112313595081546,1.3469645178371683,0.9015394840825628,1.270636772784911,1.236143590078268,1.0880624923177526,1.2701179789541812,1.3067888178105207
BTN,Bhutan,0.9337820366328136,0.9225611826413094,0.9261307777207678,1.0579372604859394,0.8244198442958139,0.952434114899372,0.9444777444847744,0.9747661003617633,0.818145176574841,0.5422231190647394
BWA,Botswana,0.98191632502707,0.9836707692631164,1.0154343117710796,0.9801775198715856,1.007358018925779,0.9649521708045964,0.9820577322722244,0.9995738822291932,0.9046660764453268,0.6629700246513945
CAF,Central African Republic,0.4933600704843766,0.4879977307559508,0.6143379689095891,0.3223571714905345,0.7937830719883235,0.2712955138929344,0.402683363632795,0.7085323083679963,0.2283848750846374,0.0422524562284445
CAN,Canada,1.4449669859330267,1.4715926990806905,1.3841458817664969,1.4481086243512196,1.4213292617470752,1.506383768542507,1.4748034206594491,1.2125694493558357,1.9590936340849463,3.1090497324703663
CHE,Switzerland,1.3846954443445838,1.4539193316455612,1.2195278172118031,1.4968623416521294,1.226019240917405,1.5047094269538954,1.4798414709153938,1.187011130694921,1.7990692101043777,2.6218812885439458
CHL,Chile,1.3437361236211138,1.330815675557285,1.285704002783399,1.4433162353807425,1.2193118889145451,1.430273433941068,1.4497430554760458,1.169323441030314,1.6942103443980328,2.32515516716781
CHN,China,1.2767711188942137,1.2660081396567524,1.3190211460730987,1.0827083994448246,1.489873600682816,1.2390207001565028,1.1458146298978704,1.1398145191640805,1.529556220530033,1.8951699930819472
CIV,Ivory Coast,0.8530334963357864,0.8675724718585791,0.9258903805706394,0.7254100171385721,1.0720976496668813,0.7055351219331155,0.7579311001216261,0.931666977161954,0.6827654153877766,0.3776246284581029
CMR,Cameroon,0.77910856375718,0.7638534830950594,0.8854384479668022,0.6020868856810649,1.0268424285055306,0.6511656719164206,0.6564095201113255,0.8903825679253647,0.569554516688676,0.2627773222402385
COD,DR Congo,0.7290801902678972,0.763018303512903,0.8054430216028723,0.5206729897747313,1.134051261767551,0.452597940839055,0.5980505121715589,0.8613215411830101,0.4987580757102117,0.2015102601214075
COG,Congo,0.7476895618840722,0.7689415806354385,0.7631316017025658,0.6599572360044059,0.9798084164945988,0.6226340518664013,0.6543687457221022,0.8722446584777047,0.5245440675621162,0.2228852051791586
COL,Colombia,1.1749424342334749,1.1608995606268564,1.2037840501887818,1.1302636390923178,1.230985699361409,1.179303691040325,1.1631461106020342,1.0934173333239596,1.2953064328081711,1.359134156630632
COM,Comoros,0.5342723535136442,0.5056630899499629,0.5953055055297494,0.5271345297337097,0.5392035200011517,0.4831906986763225,0.498751416898089,0.7373250867118334,0.267833408140934,0.0581094517001998
CPV,Cape Verde,0.8527830122633497,0.836293523355396,0.8575268379866454,0.9714302952855692,0.6811453828089591,0.8967875638809633,0.9239208421621689,0.9315301801466016,0.6823645008794049,0.377181282208219
CRI,Costa Rica,1.1356890843510608,1.138333821545902,1.090727706709147,1.2227602419314731,1.0154747754616869,1.2273452092119903,1.20659356709839,1.0749973297810136,1.2102030618902748,1.186407209236505
CUB,Cuba,0.9132831884224468,0.9091496447796362,0.9222058047933896,0.824394913932031,1.0578271906904209,0.89089935777012,0.8539967189873847,0.964007452519699,0.7826187901252979,0.4961555158390276
CYP,Cyprus,1.2835528394139677,1.3027901824892385,1.1374138651102188,1.486501282779656,1.0202229402863885,1.430298538601321,1.4766175947234244,1.1428376397515994,1.5458482111939138,1.9357576210250151
CZE,Czech Republic,1.3487915688619554,1.3667315088689282,1.2912910389735148,1.4409569543740413,1.195777255832838,1.4254219721883092,1.4273058853209424,1.1715210082816272,1.70698234509257,2.3603442099029537
DEU,Germany,1.4551103345424077,1.4878608688243655,1.3771942197112863,1.4963774727834331,1.3743578733607895,1.531152627771512,1.4956848373221967,1.2168179910939858,1.986694980824119,3.197272640805415
DJI,Djibouti,0.7488901197632111,0.7809129851070243,0.7456346360633143,0.6914851665476242,0.8801050481302226,0.648071258607849,0.7227509922066176,0.8729446549909698,0.526229930608836,0.2243201952331186
DMA,Dominica,0.7671534845565128,0.6983790598708676,0.8017555460380575,0.856799342201748,0.5083404094498157,0.9409830740517388,0.8349791784397483,0.8835248942320634,0.5522094929551644,0.24701596245533
DNK,Denmark,1.3747329723530366,1.406217924883727,1.2588791057576088,1.499144172679252,1.160161392895077,1.5133350836332364,1.482110363677011,1.1827333263551345,1.7732748006170742,2.5472370750580327
DOM,Dominican Republic,1.1365340528688104,1.1046901852226427,1.1705538722601647,1.1342104793901735,1.079421906889813,1.2000966873273071,1.15282300267368,1.0753971619276217,1.2120045477188617,1.1899419656937449
DZA,Algeria,1.0369100774094466,1.051764433075251,1.006286088638065,0.9810431998774232,1.2348952632605907,0.9571699928062328,0.9433479300756464,1.0271839086439176,1.0088382375493226,0.8244424623905813
ECU,Ecuador,1.031967719290078,1.0106682969090777,1.0460789370982244,0.9806431193362212,1.0917808138713727,1.058300103065173,1.0331763043486797,1.0247329851033613,0.9992440458046034,0.8088359025982574
EGY,Egypt,1.129486085031879,1.0977892517178929,1.2388795860577106,0.9639238816477664,1.289586413706597,1.0720215548384744,1.0029803892783362,1.0720575560400774,1.197019193165474,1.1606987326626723
