population_share,value_share
0.0,0.0
0.005025125628140704,0.0016250312506009728
0.010050251256281407,0.0033510259812688696
0.01507537688442211,0.005259716533010249
0.020100502512562814,0.007178022654281812
0.02512562814070352,0.00911555991461374
0.03015075376884422,0.01108675166830131
0.035175879396984924,0.013091597915344522
0.04020100502512563,0.015197407642454658
0.04522613065326633,0.017332064078155344
0.05025125628140704,0.019500375007211673
0.05527638190954774,0.021731187138214193
0.06030150753768844,0.02396199926921671
0.06532663316582915,0.026236081463105052
0.07035175879396985,0.028514971441758487
0.07537688442211056,0.030793861420411923
0.08040201005025126,0.03308236696859554
0.08542713567839195,0.03539010365583953
0.09045226130653267,0.03771226369737878
0.09547738693467336,0.040068078232273686
0.10050251256281408,0.04249600953864496
0.10552763819095477,0.0449431719840766
0.11055276381909548,0.04740956556856861
0.11557788944723618,0.04989999807688608
0.12060301507537688,0.052409661724263916
0.12562814070351758,0.05493855651070211
0.1306532663316583,0.057486682436200684
0.135678391959799,0.06003961614646434
0.1407035175879397,0.06259254985672799
0.1457286432160804,0.0651743302755822
0.15075376884422112,0.06778495740302695
0.15577889447236182,0.07041000788476698
0.16080402010050251,0.07303505836650702
0.1658291457286432,0.07566972441777722
0.1708542713567839,0.07835246831669836
0.17587939698492464,0.08103521221561949
0.18090452261306533,0.08374199503836607
0.18592964824120603,0.08647762456970322
0.19095477386934673,0.08922767745533564
0.19597989949748745,0.09197773034096805
0.20100502512562815,0.09473259101136557
0.20603015075376885,0.09749225946652817
0.21105527638190955,0.10025192792169076
0.21608040201005024,0.1030548664397392
0.22110552763819097,0.10586261274255271
0.22613065326633167,0.10867035904536623
0.23115577889447236,0.11149252870247502
0.23618090452261306,0.11434354506817436
0.24120603015075376,0.11723302371199443
0.24623115577889448,0.1201225023558145
0.25125628140703515,0.12302640435392985
0.2562814070351759,0.12593030635204522
0.2613065326633166,0.12885343948922093
0.2663316582914573,0.13178618819592683
0.271356783919598,0.1347237446873978
0.2763819095477387,0.13768534010269426
0.2814070351758794,0.1406565510875209
0.2864321608040201,0.1436421854266428
0.2914572864321608,0.14663743533529489
0.2964824120603015,0.14965672416777245
0.30150753768844224,0.15269524413931035
0.3065326633165829,0.15573857189561338
0.31155778894472363,0.1588347852843324
0.3165829145728643,0.1619983076597627
0.32160804020100503,0.165161830035193
0.32663316582914576,0.16833977576491857
0.3316582914572864,0.17152252927940922
0.33668341708542715,0.17471970614819515
0.3417085427135678,0.1779216908017462
0.34673366834170855,0.18114771437912267
0.35175879396984927,0.18443623915844534
0.35678391959798994,0.18774880286159348
0.36180904522613067,0.191080597703802
0.36683417085427134,0.19445566260889632
0.37185929648241206,0.1978739975768765
0.3768844221105528,0.2013211792534472
0.38190954773869346,0.20480682320813862
0.3869346733668342,0.20829727494759517
0.3919597989949749,0.2117877266870517
0.3969849246231156,0.21528779399603842
0.4020100502512563,0.2188070924440855
0.40703517587939697,0.22235042981595804
0.4120603015075377,0.22591299832689093
0.4170854271356784,0.2295717225331257
0.4221105527638191,0.2332496778784208
0.4271356783919598,0.2369757110713668
0.4321608040201005,0.24071616761860812
0.4371859296482412,0.24457201100021161
0.44221105527638194,0.24845189330564055
0.4472361809045226,0.25234619896536475
0.45226130653266333,0.25633185253562574
0.457286432160804,0.2603223138906518
0.4623115577889447,0.26442335429527497
0.46733668341708545,0.26854362583895847
0.4723618090452261,0.27269274409123256
0.47738693467336685,0.27690436354545284
0.4824120603015075,0.2811207907844382
0.48743718592964824,0.28535164137771885
0.49246231155778897,0.2895872997557646
0.49748743718592964,0.293856612627166
0.5025125628140703,0.29822208119386917
0.507537688442211,0.30274139887305535
0.5125628140703518,0.30727513990653677
0.5175879396984925,0.31187138214196436
0.5226130653266332,0.31673205253947206
0.5276381909547738,0.321818688820939
0.5326633165829145,0.3271024442777747
0.5376884422110553,0.33240062308890567
0.542713567839196,0.33813631031366
0.5477386934673367,0.3439296909555954
0.5527638190954774,0.34978076501471195
0.5577889447236181,0.3556462624281237
0.5628140703517588,0.3615261831958308
0.5678391959798995,0.36747822073501424
0.5728643216080402,0.3734831439066137
0.577889447236181,0.3795169137868037
0.5829145728643216,0.385565107021289
0.5879396984924623,0.39162772361006953
0.592964824120603,0.3977480336160312
0.5979899497487438,0.40387795919152303
0.6030150753768845,0.41002230812131013
0.6080402010050251,0.41627242831592925
0.6130653266331658,0.4225513952191389
0.6180904522613065,0.42883516990711373
0.6231155778894473,0.43512375237985357
0.628140703517588,0.44144118156118395
0.6331658291457286,0.44776341852727947
0.6381909547738693,0.4541048866324353
0.6432160804020101,0.4605088559395374
0.6482412060301508,0.4669801342333508
0.6532663316582915,0.4735091059443452
0.6582914572864321,0.4800909632877556
0.6633165829145728,0.48668724398546137
0.6683417085427136,0.493384488163234
0.6733668341708543,0.5001105790495972
0.678391959798995,0.5068799399988462
0.6834170854271356,0.5136589165176254
0.6884422110552764,0.5204475086059348
0.6934673366834171,0.5272601396180696
0.6984924623115578,0.534101617338795
0.7035175879396985,0.5409623261985809
0.7085427135678392,0.5478855362603128
0.7135678391959799,0.5548327852458702
0.7185929648241206,0.5617848420161927
0.7236180904522613,0.5687849766341662
0.7286432160804021,0.5758139579607302
0.7336683417085427,0.5828910171349451
0.7386934673366834,0.5900065385872807
0.7437185929648241,0.597155714532972
0.7487437185929648,0.6043289294024887
0.7537688442211056,0.6115165676263008
0.7587939698492463,0.618819592684475
0.7638190954773869,0.6263053135637227
0.7688442211055276,0.6338006500125005
0.7738693467336684,0.6413248331698689
0.7788944723618091,0.6488538241120024
0.7839195979899498,0.656440508471317
0.7889447236180904,0.6641810419431146
0.7939698492462312,0.6719263831996771
0.7989949748743719,0.6797005711648304
0.8040201005025126,0.6875180291928694
0.8090452261306533,0.6953643339294989
0.8140703517587939,0.7032442931594841
0.8190954773869347,0.7111338679589996
0.8241206030150754,0.7190330583280451
0.8291457286432161,0.7269322486970906
0.8341708542713568,0.7348554779899615
0.8391959798994975,0.7428075539914231
0.8442211055276382,0.75077405334718
0.8492462311557789,0.7587453604877019
0.8542713567839196,0.7667214754129889
0.8592964824120604,0.7746975903382759
0.864321608040201,0.782678513048328
0.8693467336683417,0.7906642435431451
0.8743718592964824,0.7986692051770228
0.8793969849246231,0.8066837823804305
0.8844221105527639,0.8146983595838383
0.8894472361809045,0.8227177445720111
0.8944723618090452,0.830737129560184
0.8994974874371859,0.8387565145483568
0.9045226130653267,0.8467758995365295
0.9095477386934674,0.8547952845247023
0.914572864321608,0.8628242850824054
0.9195979899497487,0.8708532856401084
0.9246231155778895,0.8788822861978115
0.9296482412060302,0.8869209023250447
0.9346733668341709,0.894959518452278
0.9396984924623115,0.9030029423642763
0.9447236180904522,0.9110463662762746
0.949748743718593,0.9190897901882727
0.9547738693467337,0.9271380218850362
0.9597989949748744,0.9351862535817997
0.964824120603015,0.9432344852785632
0.9698492462311558,0.9512875247600917
0.9748743718592965,0.9593405642416202
0.9798994974874372,0.9673984115079137
0.9849246231155779,0.9754802976980327
0.9899497487437187,0.9835621838881516
0.9949748743718593,0.9917402257735725
1.0,0.9999999999999998
