region,countries,people,mean_access_pct,median_access_pct,henley_mean_count,people_share_pct
North America,2,383436510.0,81.905,81.905,154.0,4.7
Europe & Central Asia,53,932120594.0,71.95603773584905,83.33,134.32075471698113,11.4
,2,23400764.0,68.68,68.68,124.0,0.3
Latin America & Caribbean ,33,662807600.0,62.60393939393939,69.06,113.48484848484848,8.1
East Asia & Pacific,32,2366690813.0,55.6459375,60.47,101.5625,28.8
"Middle East, North Africa, Afghanistan & Pakistan",23,828025185.0,37.20304347826087,28.9,67.43478260869566,10.1
Sub-Saharan Africa ,48,1321654217.0,31.625,29.955,58.333333333333336,16.1
South Asia,6,1692252900.0,28.95,26.455,49.666666666666664,20.6
