country,reaches,admits,mutual,mobility_balance,reciprocated_share,one_way_out,one_way_in,name
LUX,160,93,93,67,58.1,67,0,Luxembourg
LVA,158,93,93,65,58.9,65,0,Latvia
MAC,129,191,126,-62,97.7,3,65,Macao
MAR,71,78,24,-7,33.8,47,54,Morocco
MCO,153,93,90,60,58.8,63,3,Monaco
MDA,109,102,75,7,68.8,34,27,Moldova
MDG,57,196,56,-139,98.2,1,140,Madagascar
MDV,86,197,86,-111,100.0,0,111,Maldives
MEX,136,66,60,70,44.1,76,6,Mexico
MHL,110,110,76,0,69.1,34,34,Marshall Islands
MKD,117,80,67,37,57.3,50,13,North Macedonia
MLI,50,26,23,24,46.0,27,3,Mali
MLT,159,93,93,66,58.5,66,0,Malta
MMR,41,16,10,25,24.4,31,6,Myanmar
MNE,117,101,77,16,65.8,40,24,Montenegro
MNG,64,67,25,-3,39.1,39,42,Mongolia
MOZ,56,192,54,-136,96.4,2,138,Mozambique
MRT,52,9,8,43,15.4,44,1,Mauritania
MUS,127,182,123,-55,96.9,4,59,Mauritius
MWI,67,148,56,-81,83.6,11,92,Malawi
MYS,160,167,149,-7,93.1,11,18,Malaysia
NAM,69,137,52,-68,75.4,17,85,Namibia
NER,53,19,19,34,35.8,34,0,Niger
NGA,41,18,18,23,43.9,23,0,Nigeria
NIC,110,162,98,-52,89.1,12,64,Nicaragua
NLD,160,93,93,67,58.1,67,0,Netherlands
NOR,160,93,93,67,58.1,67,0,Norway
NPL,36,186,35,-150,97.2,1,151,Nepal
NRU,73,16,15,57,20.5,58,1,Nauru
NZL,158,61,61,97,38.6,97,0,New Zealand
OMN,82,83,32,-1,39.0,50,51,Oman
PAK,29,9,4,20,13.8,25,5,Pakistan
PAN,126,116,95,10,75.4,31,21,Panama
PER,133,103,93,30,69.9,40,10,Peru
PHL,62,161,58,-99,93.5,4,103,Philippines
PLW,105,196,104,-91,99.0,1,92,Palau
PNG,72,95,40,-23,55.6,32,55,Papua New Guinea
POL,159,93,93,66,58.5,66,0,Poland
PRK,37,0,0,37,0.0,37,0,North Korea
PRT,159,93,93,66,58.5,66,0,Portugal
PRY,127,71,67,56,52.8,60,4,Paraguay
PSE,35,156,23,-121,65.7,12,133,Palestine
QAT,105,99,54,6,51.4,51,45,Qatar
ROU,158,93,92,65,58.2,66,1,Romania
RUS,114,66,64,48,56.1,50,2,Russia
RWA,62,197,61,-135,98.4,1,136,Rwanda
SAU,86,74,32,12,37.2,54,42,Saudi Arabia
SDN,39,7,2,32,5.1,37,5,Sudan
SEN,56,135,46,-79,82.1,10,89,Senegal
SGP,163,164,145,-1,89.0,18,19,Singapore
SLB,119,76,65,43,54.6,54,11,Solomon Islands
SLE,59,136,51,-77,86.4,8,85,Sierra Leone
SLV,116,88,69,28,59.5,47,19,El Salvador
SMR,144,93,86,51,59.7,58,7,San Marino
SOM,32,8,6,24,18.8,26,2,Somalia
SRB,120,89,78,31,65.0,42,11,Serbia
SSD,41,5,5,36,12.2,36,0,South Sudan
STP,59,58,7,1,11.9,52,51,Sao Tome and Principe
SUR,70,176,61,-106,87.1,9,115,Suriname
SVK,159,93,93,66,58.5,66,0,Slovakia
SVN,159,93,93,66,58.5,66,0,Slovenia
SWE,160,93,93,67,58.1,67,0,Sweden
SWZ,68,97,38,-29,55.9,30,59,Swaziland
SYC,134,197,133,-63,99.3,1,64,Seychelles
SYR,26,25,3,1,11.5,23,22,Syria
TCD,50,16,12,34,24.0,38,4,Chad
TGO,55,15,15,40,27.3,40,0,Togo
THA,79,112,47,-33,59.5,32,65,Thailand
TJK,55,96,22,-41,40.0,33,74,Tajikistan
TKM,46,0,0,46,0.0,46,0,Turkmenistan
TLS,85,198,85,-113,100.0,0,113,Timor-Leste
TON,112,69,58,43,51.8,54,11,Tonga
TTO,127,105,90,22,70.9,37,15,Trinidad and Tobago
TUN,65,99,32,-34,49.2,33,67,Tunisia
TUR,111,105,60,6,54.1,51,45,Turkey
TUV,114,198,114,-84,100.0,0,84,Tuvalu
TWN,113,74,71,39,62.8,42,3,Taiwan
TZA,66,174,61,-108,92.4,5,113,Tanzania
UGA,62,40,31,22,50.0,31,9,Uganda
