country,community,community_size,community_label,name
SWE,1,77,EU-27-aligned,Sweden
ATG,1,77,EU-27-aligned,Antigua and Barbuda
NLD,1,77,EU-27-aligned,Netherlands
USA,1,77,EU-27-aligned,United States
CHL,1,77,EU-27-aligned,Chile
LVA,1,77,EU-27-aligned,Latvia
MKD,1,77,EU-27-aligned,North Macedonia
PAN,1,77,EU-27-aligned,Panama
MLT,1,77,EU-27-aligned,Malta
BHS,1,77,EU-27-aligned,Bahamas
TTO,1,77,EU-27-aligned,Trinidad and Tobago
MCO,1,77,EU-27-aligned,Monaco
TWN,1,77,EU-27-aligned,Taiwan
GRC,1,77,EU-27-aligned,Greece
SRB,1,77,EU-27-aligned,Serbia
ROU,1,77,EU-27-aligned,Romania
MNE,1,77,EU-27-aligned,Montenegro
NIC,1,77,EU-27-aligned,Nicaragua
XKX,1,77,EU-27-aligned,Kosovo
CRI,1,77,EU-27-aligned,Costa Rica
MNG,2,32,CIS-aligned,Mongolia
AZE,2,32,CIS-aligned,Azerbaijan
KGZ,2,32,CIS-aligned,Kyrgyzstan
SYR,2,32,CIS-aligned,Syria
TUR,2,32,CIS-aligned,Turkey
IDN,2,32,CIS-aligned,Indonesia
RUS,2,32,CIS-aligned,Russia
GEO,2,32,CIS-aligned,Georgia
IRQ,2,32,CIS-aligned,Iraq
DOM,2,32,CIS-aligned,Dominican Republic
KAZ,2,32,CIS-aligned,Kazakhstan
OMN,2,32,CIS-aligned,Oman
KWT,2,32,CIS-aligned,Kuwait
YEM,2,32,CIS-aligned,Yemen
CHN,2,32,CIS-aligned,China
MMR,2,32,CIS-aligned,Myanmar
ARM,2,32,CIS-aligned,Armenia
QAT,2,32,CIS-aligned,Qatar
JOR,2,32,CIS-aligned,Jordan
UZB,2,32,CIS-aligned,Uzbekistan
VNM,2,32,CIS-aligned,Vietnam
MAR,2,32,CIS-aligned,Morocco
BHR,2,32,CIS-aligned,Bahrain
SDN,2,32,CIS-aligned,Sudan
MAC,2,32,CIS-aligned,Macao
MYS,2,32,CIS-aligned,Malaysia
HKG,2,32,CIS-aligned,Hong Kong
SAU,2,32,CIS-aligned,Saudi Arabia
THA,2,32,CIS-aligned,Thailand
LBN,2,32,CIS-aligned,Lebanon
BLR,2,32,CIS-aligned,Belarus
TJK,2,32,CIS-aligned,Tajikistan
AFG,3,1,Cluster 4,Afghanistan
PRK,4,1,Cluster 5,North Korea
TKM,5,1,Cluster 6,Turkmenistan
