iso3,value,year,wb_name
PRK,74.0,2023,"Korea, Dem. People's Rep."
PRT,178916.4,2023,Portugal
PRY,5926.0,2023,Paraguay
PSS,52033.0,2023,Pacific island small states
PST,17867250.764,2023,Post-demographic dividend
QAT,207019.636,2023,Qatar
ROU,32353.999,2023,Romania
RUS,783868.0,2023,Russian Federation
RWA,14403.0,2023,Rwanda
SAS,1436345.0,2023,South Asia
SAU,302451.4,2023,Saudi Arabia
SDN,9330.0,2023,Sudan
SEN,10655.0,2023,Senegal
SGP,218963.0,2023,Singapore
SLB,6974.0,2023,Solomon Islands
SLE,2145.0,2012,Sierra Leone
SLV,25109.0,2023,El Salvador
SOM,1060.0,2019,"Somalia, Fed. Rep."
SRB,43287.0,2023,Serbia
SSA,704324.866,2023,Sub-Saharan Africa (excluding high income)
SSF,717258.866,2023,Sub-Saharan Africa
SST,316785.0,2022,Small states
STP,1199.0,2023,Sao Tome and Principe
SUR,1867.0,2023,Suriname
SVK,17.454,2022,Slovak Republic
SVN,100.0,2022,Slovenia
SWE,180974.0,2023,Sweden
SWZ,2599.2,2023,Eswatini
SYC,12934.0,2023,Seychelles
SYR,5131.0,2023,Syrian Arab Republic
TCD,72.0,2014,Chad
TEA,7112009.454,2023,East Asia & Pacific (IDA & IBRD countries)
TEC,2016127.027,2023,Europe & Central Asia (IDA & IBRD countries)
TGO,15446.666,2023,Togo
THA,335160.0,2023,Thailand
TJK,5341.0,2023,Tajikistan
TKM,10676.0,2023,Turkmenistan
TLA,2595100.999,2023,Latin America & the Caribbean (IDA & IBRD countries)
TMN,635271.0,2023,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)"
TON,5255.0,2004,Tonga
TSA,1436345.0,2023,South Asia (IDA & IBRD)
TSS,717258.866,2023,Sub-Saharan Africa (IDA & IBRD countries)
TTO,27936.0,2023,Trinidad and Tobago
TUN,35726.0,2023,Tunisia
TUR,810474.0,2023,Turkiye
TZA,81604.0,2023,Tanzania
UGA,1425.0,2023,Uganda
UKR,4910.333,2022,Ukraine
URY,8731.0,2009,Uruguay
USA,9267193.0,2023,United States
UZB,29916.0,2023,Uzbekistan
VEN,23302.0,2023,"Venezuela, RB"
VNM,331806.0,2023,Viet Nam
VUT,8307.0,2023,Vanuatu
WLD,34764894.146,2023,World
WSM,3540.0,2023,Samoa
YEM,4979.0,2023,"Yemen, Rep."
ZAF,169154.0,2023,South Africa
ZMB,12748.0,2023,Zambia
ZWE,2085.0,2023,Zimbabwe
