iso3,value,year,wb_name
MYS,0.734492430713877,2023,Malaysia
NAC,5.4,2023,North America
NAM,11.2077806904171,2021,Namibia
NCL,3.10982139906977,2009,New Caledonia
NER,4.41784034939735,2012,Niger
NGA,15.7466808233499,2023,Nigeria
NIC,11.3473196321723,2021,Nicaragua
NLD,0.690893081283378,2023,Netherlands
NOR,0.724747049690651,2023,Norway
NPL,2.13004129984372,2020,Nepal
NZL,1.46149415952832,2022,New Zealand
OED,4.5,2015,OECD members
OMN,0.138633928990513,2023,Oman
OSS,9.2,2015,Other small states
PAK,4.33487075793336,2023,Pakistan
PAN,11.7072934419645,2023,Panama
PER,8.60480803979216,2021,Peru
PHL,4.34759149828352,2023,Philippines
PLW,11.2268096213758,2018,Palau
PNG,9.34037927179888,2010,Papua New Guinea
POL,0.802314721828908,2023,Poland
PRE,8.1,2015,Pre-demographic dividend
PRI,14.5896581532053,2023,Puerto Rico (US)
PRT,0.719971949892832,2022,Portugal
PRY,6.7795163925492,2023,Paraguay
PSE,0.622023007311598,2022,West Bank and Gaza
PSS,3.4,2015,Pacific island small states
PST,2.3,2015,Post-demographic dividend
PYF,0.37108298714383,2009,French Polynesia
QAT,0.0691454145354033,2022,Qatar
ROU,1.10887485110282,2023,Romania
RUS,6.76512531955806,2021,Russian Federation
RWA,3.61247427164444,2020,Rwanda
SAS,2.8,2023,South Asia
SAU,0.935259944754359,2019,Saudi Arabia
SDN,5.1480839388,2008,Sudan
SEN,0.267518151792543,2015,Senegal
SGP,0.0690954942050905,2023,Singapore
SLB,3.73435012480591,2008,Solomon Islands
SLE,2.22431228940123,2020,Sierra Leone
SLV,7.89768799960639,2022,El Salvador
SMR,3.63762026882014,2002,San Marino
SRB,1.31400205013848,2023,Serbia
SSA,9.4,2015,Sub-Saharan Africa (excluding high income)
SSD,13.9825812737537,2012,South Sudan
SSF,12.2,2023,Sub-Saharan Africa
SST,13.0,2015,Small states
STP,3.23189666549062,2011,Sao Tome and Principe
SUR,6.51946457704576,2023,Suriname
SVK,1.12358440823663,2023,Slovak Republic
SVN,0.566466326409227,2023,Slovenia
SWE,1.14675703743944,2023,Sweden
SWZ,12.5145709802017,2021,Eswatini
SYC,7.96669919735506,2022,Seychelles
SYR,2.05938679956635,2010,Syrian Arab Republic
TCA,76.3400403511642,2022,Turks and Caicos Islands
TEA,1.4,2015,East Asia & Pacific (IDA & IBRD countries)
TEC,5.7,2015,Europe & Central Asia (IDA & IBRD countries)
THA,4.79225300638159,2011,Thailand
