iso3,value,year,wb_name
MEX,11449000000.0,2020,Mexico
MHL,20100000.3814697,2018,Marshall Islands
MKD,253000000.0,2020,North Macedonia
MLI,231000000.0,2018,Mali
MLT,1185000000.0,2007,Malta
MMR,2501000000.0,2019,Myanmar
MNA,55317558282.0073,2019,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)"
MNE,180000000.0,2020,Montenegro
MNG,49000000.0,2020,Mongolia
MNP,655000000.0,1995,Northern Mariana Islands
MOZ,113000000.0,2020,Mozambique
MRT,6400000.09536743,2020,Mauritania
MUS,518000000.0,2020,Mauritius
MWI,35000000.0,2020,Malawi
MYS,3386000000.0,2020,Malaysia
NAC,305557753783.124,2019,North America
NAM,155000000.0,2020,Namibia
NCL,248000000.0,2016,New Caledonia
NER,130000000.0,2019,Niger
NGA,321000000.0,2020,Nigeria
NIC,128000000.0,1999,Nicaragua
NLD,10926200195.3125,2020,Netherlands
NOR,2196000000.0,2020,Norway
NPL,238000000.0,2020,Nepal
NRU,1600000.0,2018,Naoero
NZL,10961000000.0,2018,New Zealand
OED,997063700763.716,2019,OECD members
OMN,669000000.0,2020,Oman
PAK,765000000.0,2020,Pakistan
PAN,1841000000.0,2020,Panama
PER,1002000000.0,2020,Peru
PHL,2769000000.0,2020,Philippines
PLW,123000000.0,2017,Palau
PNG,4230000.01907349,2018,Papua New Guinea
POL,8379000000.0,2020,Poland
PRE,19266611570.16,2019,Pre-demographic dividend
PRI,2921000000.0,2020,Puerto Rico (US)
PRT,10522000000.0,2020,Portugal
PRY,104000000.0,2020,Paraguay
PSE,245000000.0,2018,West Bank and Gaza
PSS,2233673134.26989,2019,Pacific island small states
PST,1000792534069.71,2019,Post-demographic dividend
PYF,782000000.0,2016,French Polynesia
QAT,14318000000.0,2020,Qatar
ROU,1611000000.0,2020,Romania
RUS,4961000000.0,2020,Russian Federation
RWA,212000000.0,2020,Rwanda
SAS,41884000000.0,2019,South Asia
SAU,5960000000.0,2020,Saudi Arabia
SDN,1043000000.0,2018,Sudan
SEN,557000000.0,2018,Senegal
SGP,20416000000.0,2018,Singapore
SLB,7000000.0,2020,Solomon Islands
