"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5639557242393","14.4064527153969","13.7773321270943","14.0498889684677","14.4028444290161","24.245514035225","24.0739314556122","22.4817925691604","22.26640188694","21.9734801054001","17.6180784702301","20.9436371326446","20.9329559803009","22.1105353832245","21.5019911527633","20.9615323543548","21.682867527008","21.2965018749237","17.898535490036","8.89144766330716","","",
"Andorra","AND","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-30.3972826004028","","-29.4930750131607","","-30.2712327241898","","-28.4490450620652","-26.4909929037094","-28.7967294454575","-28.2704141139983","-31.9430822134018","-31.4935207366943","-32.3562284708023","-31.8940192461013","-31.7909870147705","-32.6825022697448","-28.0821833610535","-27.3594015836716","-24.4343585968018","-25.7153002023697","-25.8398748636246","-26.8871798515319","-28.6880472898483","-29.5676183700561","-31.0991595983505","-31.8894441127777","-23.2280149459839","-11.5474864244461","","",
"Africa Western and Central","AFW","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-27.717978477478","","-25.9647566080093","","-27.2255289554596","","-27.76684486866","-25.2085505723953","-25.8555778264999","-24.9015148878097","-22.2916365861892","-23.3772697448731","-23.435585975647","-21.0169174671174","-21.6402056217193","-21.7099050283431","-22.1812074184417","-21.9445925951004","-18.2725734710693","-17.4719368219375","-17.0284060835838","-17.6362268924713","-16.9725823998452","-17.3224992156028","-16.0544093251228","-16.6348824501038","-14.3075821399689","-7.69346213340761","","",
"Albania","ALB","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-11.6361905932426","","-15.8044189810753","","-17.3513504266739","","-12.9594640135765","-12.1774994134903","-11.9175497889519","-12.985163807869","-11.9533094167709","-11.2462818622589","-10.20134806633","-8.40429276227951","-6.55792826414108","-7.52974992990493","-8.83727598190307","-8.81786215305329","-5.28819212317466","-5.36737841367722","-5.4200331568718","-6.97391548752785","-6.98943710327149","-7.17040333151817","-6.32743754982949","-4.69592294096947","-2.3195493966341","-1.14868158102036","","",
"Andorra","AND","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6921626329422","","20.0133173465729","","21.8648130893708","","20.8052901029587","17.9517161846161","20.3035163879394","16.4253026247025","14.5466591119766","19.8601663112641","20.1685901880264","20.7023470401765","20.3647184371949","23.7876538038254","23.8201922178269","23.8262181282043","27.8534911870957","25.8933777809143","25.8905380964279","26.2789330482483","26.3083727359772","25.8617590665818","27.6850444078446","28.1345849037171","20.7965307235718","10.3382923603058","","",
"Netherlands Antilles","ANT","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7030376195908","","12.1735800504684","","11.1477992534637","","11.9459560513496","9.26170712709427","7.36545941233634","6.62278825044632","5.29611071944236","4.67102348804473","7.09273993968964","6.78773841261863","5.3960402905941","8.47530081868171","9.08411377668381","10.4297491312027","11.0696794390678","10.5088683366776","13.994740486145","13.1328606009483","13.239282310009","13.8175318837166","14.9873694181442","13.6792370676994","11.7088949084282","6.17330092191696","","",
"Argentina","ARG","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.28439491987228","","-0.660986818373203","","-3.64487639069558","","-12.9386674761772","-13.2109689712524","-13.0454630255699","-9.48584848642349","-9.80926585197448","-10.2250283956528","-11.895438015461","-11.8059573769569","-10.1676018238068","-9.57309585809707","-10.5915820598602","-11.1566322445869","-14.7307364940643","-12.6755385398865","-5.39758536219597","-3.98793308436871","-3.67442433536053","-7.2068729698658","-8.23434126377106","-8.06923648715019","-6.74123886227608","-2.87578573822975","","",
"Armenia","ARM","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.97467464208603","","-6.47456529736519","","-8.51727640628814","","-7.45503327250481","-5.14869889616967","-8.19316038489341","-6.6092047393322","-9.25764489173889","-8.44080677628518","-5.74177309870719","-7.9680817425251","-8.18309143185615","-7.44100898504257","-7.11079353094101","-5.79593494534492","-7.10204982757568","-7.81838038563729","-2.68191726505756","-3.50955915451051","-3.29662750661373","-2.95649605989456","-2.0743470788002","-1.96120700240136","-2.36658120155334","-0.854125857353209","","",
"American Samoa","ASM","Rule of Law: Estimate","RL.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2731396555901","18.8600620031357","18.1767654418945","18.5456374883651","19.0056519508363","19.1259301900863","18.8905394077301","18.5461907386779","18.6382430791855","18.7233839035034","23.9219906330108","22.0156271457672","21.9074556827545","22.186269402504","22.2203093767166","21.7407870292664","19.2206645011902","19.5593214035034","17.0956366062164","8.48743808269504","","",
