"Data Source","WDI Database Archives",

"Last Updated Date","2025-10-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8847091197968","23.3990714550018","22.158830165863","21.8716648817063","22.3787319660187","19.066422343254","18.7144051790237","21.8575417995453","21.4859865903854","22.3078470230102","19.797653079033","20.6361172199249","21.5032169818878","22.3989453315735","22.7931572198868","22.7497193813324","23.372438788414","24.4659224748611","20.7043490409851","10.0276719331741","","",
"Andorra","AND","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-41.0942618846893","","-41.2650277614593","","-41.4624712467193","","-34.5955729484558","-37.3723301887512","-39.0265972614287","-35.1476681232452","-37.7252876758575","-41.0273489952088","-45.7531361579895","-46.0941653251649","-43.8455817699432","-42.5350148677826","-41.11554479599","-42.8289346694947","-40.9881634712219","-43.5904178619385","-45.2833471298217","-47.5328953266144","-46.8385164737702","-45.1012201309204","-45.9525589942932","-42.8500106334686","-35.6703040599823","-17.3885638713837","","",
"Africa Western and Central","AFW","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-35.0525941848756","","-39.4069943428039","","-34.6489565372467","","-26.7950576543808","-17.1255594491959","-18.0730502605438","-15.0480315685272","-9.17070859670639","-11.3331989049911","-6.1503854393959","-5.90906140208244","-3.84509980678559","-6.2770427763462","-6.61848333477974","-6.65096905827523","-5.66494476795197","-8.57809472084046","-5.4498176574707","-6.58055931329727","-5.87179169058799","-6.24511894583702","-9.94835120439529","-12.0714603066444","-8.934445977211","-2.39053535461426","","",
"Albania","ALB","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.72262719273567","","-9.24807143211365","","-9.17982304096222","","-5.06122606992722","-5.26626408100128","-7.26341462135315","-8.58581560850144","-8.63867431879044","-3.4675690382719","-0.518515521660446","-0.767388708889484","-3.25520932674408","-4.80045011639594","-2.44173707067966","1.56280636042356","8.26176595687866","5.82133376598358","5.75820434093475","6.3682082593441","6.24550268054008","1.87458901852369","1.50297971814871","3.07699920982123","1.54844764620065","1.28344278037548","","",
"Andorra","AND","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8818768262864","","20.108877658844","","19.838684797287","","21.807037949562","24.9072297811509","23.8358027935029","23.5437636375427","22.9441193342209","22.8142676353455","22.7540261745453","22.0513719320297","21.7306265830993","22.1423015594483","21.9359695911407","21.8267421722413","21.872086405754","23.2976603507996","23.5987619161605","23.7660502195358","23.7286828756332","26.8886543512344","27.0888358354568","27.0317139625549","22.2160742282867","11.0842615365982","","",
"Netherlands Antilles","ANT","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.3882551193237","","14.8122577667236","","16.5823851823807","","15.9336768984795","16.9090531468391","13.0688859820366","14.8820260763168","15.6981584429741","16.5816535949707","11.8323046565056","15.6237047314644","13.629883825779","15.5069871544838","14.6752746105194","15.2114673852921","13.0714516043663","12.7513257861137","9.38929277658462","10.2832127213478","11.7633249163628","11.4017102122307","10.1574908494949","10.3131321072578","10.11478048563","4.74271661043167","","",
"Argentina","ARG","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.89340698719024","","-2.28904302418233","","1.62900590151548","","-13.2012718915939","-6.11724817752838","-10.3858935236931","-0.710174039006233","0.03345196810551","1.66254277527332","-1.49184668809175","-3.99252784252167","-1.44156373292208","2.70289224386215","1.75168928503991","1.11034247279167","-0.0870718131773174","0.167054026387632","3.38237507641316","2.78409795463085","0.128712209872902","-1.64414439350367","-1.24580609053373","-0.312111560371704","-0.754303284920752","-0.892625361680983","","",
"Armenia","ARM","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6.20497635006905","","-11.2673844099045","","-11.6087550520897","","-4.34833011031151","4.02842603623867","-1.97773725539446","-1.1277017146349","-4.43740391731262","2.56539915502071","-0.116501471493393","3.87367706000806","1.22154059261084","-1.08577273786068","2.63151459395886","1.87654741853475","-5.05130860209465","-4.35217905044556","-11.3381069302559","-10.6292702555656","-7.65003648400307","-7.1207577586174","-13.0855760574341","-13.7633199095726","-10.7655814290047","-5.8049476146698","","",
"American Samoa","ASM","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.5277504324913","12.6868291497231","11.9677901864052","16.4548295736313","16.7358716130257","16.0773193240166","15.6254941821098","15.8778330683708","16.2008441090584","15.79275816679","18.3716189861298","19.6675649881363","19.7994910478592","20.2371090650559","19.9769719839096","19.551130771637","18.7946908473969","18.0958150625229","15.764230966568","7.79954850673677","","",
"Antigua and Barbuda","ATG","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1903072595596","","12.3847038149834","","12.1249953508377","","13.4735186696053","14.7167319059372","18.4388054609299","14.1187129020691","13.5969522595406","13.6453930735588","13.8361610770226","12.2704900503159","15.3849893808365","16.2790003418922","16.5883969664574","16.3006774187088","16.7373621463776","16.8400732278824","14.66531676054","12.4929794669151","14.0447234511375","15.9929983615875","15.8355962634087","16.161055624485","13.1736105084419","6.46375274658203","","",
"Australia","AUS","Political Stability and Absence of Violence/Terrorism: Estimate","PV.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.7339155673981","","18.1305214166641","","22.6773999929427","","20.2200485467912","14.9279924631119","15.9028803110123","15.1590301990509","15.8859322071075","15.7908734679222","16.2299019098282","14.5370501875877","15.1106177568436","15.9070712327957","16.9659528136253","17.5282405614853","17.5472638607025","14.8794691562653","17.6118170022965","14.9536576271057","16.5627938508987","15.5822814702988","14.6194046139717","14.2457311749458","13.4210160374641","6.41940051317215","","",
